Condition,Eyes_PoS,Nose_PoS,Mouth_PoS,Eyes_PoS_Std,Nose_PoS_Std,Mouth_PoS_Std
Full,0.0991988655052579,0.09499713399226689,0.08259077352165407,0.1481673198780872,0.13964320352714743,0.11735951645614652
E,0.06356021169603061,0.1002952228523284,0.08744287633679274,0.08597330700784996,0.13091532818876875,0.11422921564137369
M,0.11924139726359918,0.08828131345537334,0.06523406982112628,0.16248722386249698,0.1378332445355821,0.09271860389475764
N,0.112346980862488,0.06741387068382867,0.09159348543430441,0.15145555158683513,0.09772217754755512,0.11545191757156116
