ModelFile,Condition,ImageID,Reduction,Peak_Y,Peak_Value,Lowest_Y,Peak_Region
Baseline_AlexNet_FaceBased.pth,N,8,4,215,17.234375,0,Background
Baseline_AlexNet_FaceBased.pth,N,9,4,77,24.101261,0,Eyes
Baseline_AlexNet_FaceBased.pth,N,10,4,129,25.072952,0,Nose
Baseline_AlexNet_FaceBased.pth,N,11,4,94,17.742523,0,Eyes
Baseline_AlexNet_FaceBased.pth,N,12,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,13,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,14,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,15,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,16,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,17,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,18,4,0,0,0,Background
Baseline_AlexNet_FaceBased.pth,N,19,4,77,19.878033,0,Eyes
Baseline_AlexNet_FaceBased.pth,N,20,4,94,28.81195,0,Eyes
Baseline_AlexNet_FaceBased.pth,N,21,4,94,17.742523,0,Eyes
Baseline_AlexNet_ObjectBased.pth,E,1,4,43,36.483246,0,Background
Baseline_AlexNet_ObjectBased.pth,E,2,4,146,44.257812,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,3,4,146,53.64488,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,4,4,146,48.53379,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,5,4,146,35.235622,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,6,4,146,43.42483,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,7,4,146,38.925453,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,8,4,146,41.939415,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,9,4,146,46.750637,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,10,4,129,39.010147,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,11,4,129,39.774345,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,12,4,163,50.708027,0,Background
