ModelFile,Arch,Location,BaseType,Reduction,Condition,ImageID,Eyes_PoS,Nose_PoS,Mouth_PoS
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,9,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,10,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,11,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,12,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,13,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,14,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,15,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,16,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,17,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,18,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,19,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,20,0.093807817,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,M,21,0.095349185,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,1,0.027414918,0.055855207,0.06034638
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,2,0.01174938,0.064381875,0.048015468
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,3,0.02433206,0.075018667,0.05220421
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,4,0.04095589,0.074057989,0.035731398
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,5,0.034793496,0.037784163,0.017988328
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,6,0.104227707,0.027273379,0.039304696
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,7,0.094852179,0.054121055,0.051303867
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,8,0.101376951,0.021739429,0.039508149
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,9,0.201447979,0.016380416,0.055135235
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,10,0.209252372,0.025885327,0.075290248
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,11,0.261336654,0.017622136,0.024572177
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,12,0.07598497,0.029742975,0.053211257
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,13,0.058449663,0.042782929,0.04807011
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,14,0.066199541,0.078907676,0.075203501
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,15,0.027847704,0.077091157,0.086713053
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,16,0.027580546,0.023118297,0.032805894
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,17,0.000371455,0.009834877,0.035941597
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,18,0.01247658,0.024929777,0.104107246
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,19,0.273045629,0.018724883,0.175490603
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,20,0.154475555,0.034303945,0.11326997
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,N,21,0.093302809,0.019571608,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,1,0.204641566,0.272483081,0.03665382
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,2,0.298955083,0.168457523,0.007235928
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,3,0.233017445,0.237702727,0.011093585
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,4,0.049678814,0.195549935,0.141534224
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,5,0.054178976,0.160447478,0.129669473
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,6,0.045769509,0.239791408,0.131454423
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,7,0.050811026,0.228331313,0.083524324
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,8,0.040647492,0.240790516,0.119770348
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,9,0.038113311,0.22807759,0.147629395
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,10,0.033831637,0.260548621,0.122966647
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,11,0.037779301,0.222144827,0.119112022
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,12,0.058326233,0.234783173,0.08705458
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,13,0.060806118,0.252630472,0.094526656
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,14,0.073335916,0.332215041,0.047204319
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,15,0.07678166,0.675376415,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,16,0.083160654,0.267710775,0.04969975
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,17,0.049081851,0.301288933,0.07113082
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,18,0.077248886,0.317104965,0.070779413
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,19,0.102937073,0.304958373,0.107054099
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,20,0.046189796,0.38726306,0.169845074
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,E,21,0.090889126,0.413219035,0.066129893
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,1,0.069615342,0.029518509,0.273066849
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,2,0.05696547,0.05070335,0.205473393
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,3,0.016561357,0.029909678,0.159761861
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,4,0.202152818,0.024614425,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,5,0.145169258,0.106854782,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,6,0.215805024,0.268613845,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,7,0.192849576,0.374563366,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,8,0.288297653,0.303896248,0.038566578
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,9,0.256169736,0.25263992,0.017127207
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,10,0.277582616,0.290427893,0.050202511
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,11,0.249207065,0.423083127,0.001696102
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,12,0.172870785,0.220428467,0.081379928
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,13,0.225205407,0.413231283,0.00062754
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,14,0.163748443,0.524056077,0.010484392
