ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,32,Full,19,0.211689,0.136466,0.029779,0.062118,0.164482,0.085130,0.018577,0.038751,0.008927,0.022849,0.004986,0.010401,0.557926,0.142062,0.031001,0.064666
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,32,M,9,0.162892,0.271713,0.059293,0.123682,0.011735,0.031744,0.006927,0.014450,0.025842,0.071314,0.015562,0.032462,0.902499,0.213115,0.046506,0.097009
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,32,N,21,0.254649,0.210096,0.045847,0.095634,0.018751,0.027009,0.005894,0.012294,0.075110,0.045738,0.009981,0.020820,0.922611,0.113322,0.024729,0.051583
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,2,E,21,0.086009,0.070928,0.015478,0.032286,0.282899,0.109882,0.023978,0.050018,0.086384,0.048644,0.010615,0.022143,0.390063,0.112908,0.024638,0.051395
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,2,Full,21,0.223115,0.100962,0.022032,0.045957,0.216460,0.150969,0.032944,0.068720,0.046547,0.075835,0.016549,0.034520,0.603718,0.211552,0.046164,0.096297
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,2,M,21,0.357648,0.121418,0.026496,0.055269,0.053172,0.039819,0.008689,0.018126,0.058522,0.047073,0.010272,0.021427,0.882033,0.092144,0.020107,0.041943
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,2,N,21,0.244219,0.083723,0.018270,0.038110,0.004676,0.008933,0.001949,0.004066,0.123303,0.080747,0.017620,0.036756,0.987217,0.023541,0.005137,0.010716
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,4,E,21,0.050055,0.143764,0.031372,0.065441,0.192354,0.126840,0.027679,0.057737,0.104327,0.058605,0.012789,0.026677,0.510496,0.271819,0.059316,0.123730
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,4,Full,21,0.252473,0.202666,0.044225,0.092252,0.277020,0.206520,0.045066,0.094007,0.036982,0.029577,0.006454,0.013463,0.527660,0.314807,0.068696,0.143298
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,4,M,16,0.039033,0.130793,0.028541,0.059536,0.425838,0.363043,0.079222,0.165255,0.000876,0.001913,0.000417,0.000871,0.196085,0.372635,0.081316,0.169621
