ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,2,E,21,0.025280,0.026018,0.005678,0.011843,0.081841,0.074009,0.016150,0.033689,0.055072,0.049042,0.010702,0.022324,0.594535,0.246558,0.053803,0.112232
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,2,Full,21,0.136656,0.076075,0.016601,0.034629,0.060184,0.034773,0.007588,0.015829,0.024445,0.037863,0.008262,0.017235,0.730466,0.089574,0.019547,0.040773
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,2,M,21,0.207099,0.048806,0.010650,0.022216,0.135637,0.046622,0.010174,0.021222,0.004249,0.005293,0.001155,0.002409,0.611022,0.105069,0.022928,0.047827
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,2,N,21,0.057674,0.016903,0.003689,0.007694,0.014196,0.012384,0.002702,0.005637,0.022722,0.012100,0.002640,0.005508,0.858254,0.097382,0.021250,0.044328
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,4,E,21,0.031184,0.028627,0.006247,0.013031,0.151116,0.055909,0.012200,0.025449,0.074687,0.032379,0.007066,0.014739,0.418845,0.120581,0.026313,0.054888
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,4,Full,20,0.153482,0.166969,0.036436,0.076003,0.374603,0.216515,0.047247,0.098556,0.024167,0.028501,0.006220,0.012974,0.339064,0.261680,0.057103,0.119115
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,4,M,20,0.216342,0.170788,0.037269,0.077742,0.174186,0.174878,0.038162,0.079604,0.000309,0.000885,0.000193,0.000403,0.565959,0.382406,0.083448,0.174069
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,4,N,21,0.001722,0.004198,0.000916,0.001911,0.515354,0.220729,0.048167,0.100475,0.044006,0.076954,0.016793,0.035029,0.163859,0.309282,0.067491,0.140784
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,8,E,19,0.010849,0.010296,0.002247,0.004687,0.028621,0.068195,0.014881,0.031042,0.022383,0.035677,0.007785,0.016240,0.828336,0.280213,0.061147,0.127551
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,8,Full,8,0.002248,0.010303,0.002248,0.004690,0.036261,0.095437,0.020826,0.043442,0.045548,0.207857,0.045358,0.094615,0.625021,0.517520,0.112932,0.235572
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,8,M,21,0.141552,0.080654,0.017600,0.036713,0.002436,0.007620,0.001663,0.003469,0.059916,0.054545,0.011903,0.024828,0.989995,0.030265,0.006604,0.013777
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,8,N,21,0.000367,0.000637,0.000139,0.000290,0.028752,0.048092,0.010495,0.021891,0.147023,0.102563,0.022381,0.046686,0.898269,0.119368,0.026048,0.054336
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,16,E,21,0.061279,0.042693,0.009316,0.019433,0.083145,0.031847,0.006950,0.014496,0.032365,0.013421,0.002929,0.006109,0.524374,0.145356,0.031719,0.066165
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,16,Full,21,0.037481,0.027696,0.006044,0.012607,0.059886,0.067191,0.014662,0.030585,0.089413,0.071394,0.015579,0.032498,0.756786,0.162553,0.035472,0.073993
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,16,M,21,0.060720,0.030318,0.006616,0.013800,0.025298,0.022832,0.004982,0.010393,0.054916,0.063861,0.013936,0.029069,0.830448,0.098715,0.021541,0.044934
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,16,N,21,0.169613,0.163227,0.035619,0.074300,0.043423,0.082516,0.018006,0.037561,0.033859,0.024658,0.005381,0.011224,0.866204,0.145822,0.031821,0.066378
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,32,E,20,0.001202,0.001293,0.000282,0.000589,0.006178,0.005266,0.001149,0.002397,0.019105,0.013562,0.002959,0.006173,0.748121,0.242086,0.052827,0.110196
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,32,Full,21,0.009037,0.017373,0.003791,0.007908,0.026244,0.039082,0.008528,0.017790,0.023732,0.020462,0.004465,0.009314,0.677499,0.296792,0.064765,0.135098
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,32,M,21,0.025638,0.041775,0.009116,0.019016,0.004467,0.006329,0.001381,0.002881,0.157956,0.085128,0.018576,0.038750,0.972130,0.040862,0.008917,0.018600
SE-Conv-L3_ObjectBased,SE-Conv,ObjectBased,L3,32,N,21,0.008888,0.009917,0.002164,0.004514,0.012304,0.019829,0.004327,0.009026,0.090699,0.025864,0.005644,0.011773,0.891705,0.165252,0.036061,0.075222
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,2,E,18,0.003203,0.006611,0.001443,0.003009,0.077916,0.105798,0.023087,0.048159,0.205583,0.312516,0.068197,0.142256,0.437702,0.469730,0.102503,0.213818
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,2,Full,21,0.009516,0.020748,0.004528,0.009444,0.063723,0.079480,0.017344,0.036179,0.245835,0.219753,0.047954,0.100030,0.747615,0.306665,0.066920,0.139592
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,2,M,13,0.030817,0.071980,0.015707,0.032765,0.101222,0.210129,0.045854,0.095649,0.004505,0.009430,0.002058,0.004293,0.614160,0.422497,0.092196,0.192318
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,2,N,21,0.030165,0.082615,0.018028,0.037606,0.003223,0.007683,0.001676,0.003497,0.087864,0.095357,0.020809,0.043406,0.945905,0.145882,0.031834,0.066405
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,4,E,18,0.044837,0.072310,0.015779,0.032915,0.283735,0.287392,0.062714,0.130819,0.081914,0.199182,0.043465,0.090667,0.350089,0.363668,0.079359,0.165540
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,4,Full,21,0.144208,0.141761,0.030935,0.064529,0.022138,0.030541,0.006665,0.013902,0.062175,0.123105,0.026864,0.056037,0.842316,0.238765,0.052103,0.108684
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,4,M,21,0.222212,0.070428,0.015369,0.032058,0.069433,0.029763,0.006495,0.013548,0.037475,0.023225,0.005068,0.010572,0.790397,0.076989,0.016800,0.035045
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,4,N,21,0.323743,0.116369,0.025394,0.052970,0.057590,0.020988,0.004580,0.009554,0.046445,0.040177,0.008767,0.018288,0.857274,0.063285,0.013810,0.028807
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,8,E,21,0.047270,0.049842,0.010876,0.022688,0.124382,0.091802,0.020033,0.041788,0.204172,0.148075,0.032313,0.067403,0.629559,0.304357,0.066416,0.138542
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,8,Full,21,0.150806,0.107513,0.023461,0.048939,0.076979,0.079009,0.017241,0.035964,0.135042,0.234824,0.051243,0.106891,0.762407,0.233879,0.051037,0.106461
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,8,M,21,0.030455,0.021800,0.004757,0.009923,0.046106,0.025453,0.005554,0.011586,0.050983,0.034679,0.007568,0.015786,0.629905,0.187713,0.040962,0.085446
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,8,N,21,0.073028,0.021810,0.004759,0.009928,0.106488,0.043341,0.009458,0.019729,0.087443,0.025188,0.005497,0.011466,0.609446,0.093359,0.020373,0.042497
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,16,E,21,0.100402,0.053074,0.011582,0.024159,0.070292,0.075361,0.016445,0.034304,0.035103,0.043053,0.009395,0.019598,0.639642,0.307032,0.067000,0.139759
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,16,Full,16,0.123546,0.172269,0.037592,0.078416,0.163352,0.156389,0.034127,0.071188,0.059457,0.073762,0.016096,0.033576,0.532169,0.216987,0.047351,0.098771
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,16,M,21,0.195747,0.149544,0.032633,0.068072,0.192049,0.123604,0.026973,0.056264,0.068191,0.051376,0.011211,0.023386,0.587632,0.213353,0.046557,0.097117
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,16,N,21,0.058772,0.030542,0.006665,0.013902,0.061190,0.032825,0.007163,0.014942,0.108175,0.024812,0.005414,0.011294,0.744257,0.120576,0.026312,0.054886
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,32,E,6,0.013760,0.038489,0.008399,0.017520,0.024536,0.056062,0.012234,0.025519,0.069128,0.203104,0.044321,0.092452,0.633959,0.304251,0.066393,0.138493
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,32,Full,18,0.177698,0.282347,0.061613,0.128523,0.168560,0.255050,0.055656,0.116097,0.067663,0.111062,0.024236,0.050555,0.664190,0.333994,0.072884,0.152032
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,32,M,21,0.420184,0.210869,0.046015,0.095986,0.162819,0.142079,0.031004,0.064674,0.002093,0.006325,0.001380,0.002879,0.698409,0.247355,0.053977,0.112595
SE-Conv-L4_FaceBased,SE-Conv,FaceBased,L4,32,N,6,0.002247,0.009392,0.002050,0.004275,0.005752,0.021772,0.004751,0.009911,0.010411,0.038242,0.008345,0.017407,0.861475,0.213795,0.046654,0.097318
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,2,E,21,0.003970,0.005477,0.001195,0.002493,0.055912,0.050987,0.011126,0.023209,0.127573,0.074337,0.016222,0.033838,0.669458,0.202459,0.044180,0.092158
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,2,Full,21,0.138082,0.126630,0.027633,0.057641,0.118615,0.116277,0.025374,0.052929,0.030921,0.027915,0.006092,0.012707,0.642913,0.207544,0.045290,0.094473
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,2,M,21,0.032695,0.015297,0.003338,0.006963,0.021435,0.008178,0.001785,0.003722,0.033579,0.015490,0.003380,0.007051,0.747246,0.070651,0.015417,0.032160
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,2,N,20,0.447731,0.202085,0.044098,0.091988,0.047778,0.057890,0.012633,0.026351,0.001278,0.005217,0.001138,0.002375,0.877552,0.166539,0.036342,0.075808
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,4,E,21,0.036909,0.051386,0.011213,0.023391,0.070505,0.073287,0.015992,0.033360,0.029201,0.039719,0.008667,0.018080,0.572850,0.319866,0.069800,0.145601
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,4,Full,21,0.029624,0.034125,0.007447,0.015533,0.453536,0.234981,0.051277,0.106962,0.011133,0.015500,0.003382,0.007055,0.114167,0.124443,0.027156,0.056646
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,4,M,21,0.080704,0.129887,0.028344,0.059124,0.430444,0.168190,0.036702,0.076559,0.032710,0.022174,0.004839,0.010093,0.221391,0.220194,0.048050,0.100231
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,4,N,19,0.001263,0.002088,0.000456,0.000950,0.312589,0.219437,0.047885,0.099887,0.041848,0.057115,0.012464,0.025999,0.145944,0.190732,0.041621,0.086820
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,8,E,21,0.071270,0.057403,0.012526,0.026130,0.040583,0.041981,0.009161,0.019109,0.011741,0.032823,0.007163,0.014941,0.656972,0.262111,0.057197,0.119312
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,8,Full,21,0.144488,0.093065,0.020308,0.042363,0.030739,0.021755,0.004747,0.009903,0.051210,0.060903,0.013290,0.027723,0.873395,0.061340,0.013385,0.027922
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,8,M,21,0.253515,0.076989,0.016800,0.035045,0.019213,0.009785,0.002135,0.004454,0.028935,0.080155,0.017491,0.036486,0.936148,0.031766,0.006932,0.014460
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,8,N,21,0.177116,0.043831,0.009565,0.019952,0.056240,0.025465,0.005557,0.011592,0.129057,0.032773,0.007152,0.014918,0.849767,0.046060,0.010051,0.020966
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,16,E,21,0.049589,0.016761,0.003658,0.007630,0.135328,0.052801,0.011522,0.024035,0.169339,0.054167,0.011820,0.024656,0.623516,0.124550,0.027179,0.056694
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,16,Full,21,0.092987,0.026023,0.005679,0.011846,0.091676,0.023084,0.005037,0.010508,0.166379,0.050460,0.011011,0.022969,0.741201,0.034858,0.007607,0.015867
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,16,M,21,0.176002,0.045398,0.009907,0.020665,0.034074,0.018916,0.004128,0.008610,0.035110,0.018803,0.004103,0.008559,0.859134,0.079543,0.017358,0.036207
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,16,N,21,0.069483,0.021512,0.004694,0.009792,0.022679,0.007828,0.001708,0.003563,0.119604,0.017519,0.003823,0.007975,0.893757,0.032294,0.007047,0.014700
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,32,E,21,0.127371,0.050335,0.010984,0.022912,0.120555,0.039955,0.008719,0.018187,0.215464,0.054561,0.011906,0.024836,0.741363,0.041595,0.009077,0.018934
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,32,Full,21,0.022376,0.024647,0.005378,0.011219,0.030276,0.035520,0.007751,0.016169,0.096404,0.028341,0.006184,0.012900,0.840030,0.170465,0.037198,0.077595
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,32,M,21,0.018154,0.042377,0.009247,0.019290,0.063227,0.027559,0.006014,0.012545,0.167006,0.055594,0.012132,0.025306,0.748153,0.091094,0.019878,0.041466
SE-Conv-L4_ObjectBased,SE-Conv,ObjectBased,L4,32,N,21,0.028762,0.024412,0.005327,0.011112,0.189377,0.035254,0.007693,0.016047,0.234518,0.052418,0.011439,0.023861,0.580960,0.073833,0.016112,0.033608
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,2,E,21,0.037220,0.005501,0.001200,0.002504,0.079427,0.002714,0.000592,0.001235,0.100909,0.003236,0.000706,0.001473,0.634456,0.019876,0.004337,0.009047
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,2,Full,21,0.049846,0.002390,0.000521,0.001088,0.073364,0.004530,0.000988,0.002062,0.089956,0.002746,0.000599,0.001250,0.656088,0.014137,0.003085,0.006435
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,2,M,21,0.066864,0.002423,0.000529,0.001103,0.110082,0.002282,0.000498,0.001039,0.067009,0.003405,0.000743,0.001550,0.548628,0.011211,0.002446,0.005103
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,2,N,21,0.077059,0.001976,0.000431,0.000899,0.060085,0.003208,0.000700,0.001460,0.086929,0.004804,0.001048,0.002187,0.731874,0.010799,0.002357,0.004916
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,4,E,21,0.181407,0.017546,0.003829,0.007987,0.077702,0.008356,0.001823,0.003804,0.029526,0.008603,0.001877,0.003916,0.730984,0.020440,0.004460,0.009304
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,4,Full,21,0.121395,0.018225,0.003977,0.008296,0.048990,0.015955,0.003482,0.007263,0.004978,0.002684,0.000586,0.001222,0.724278,0.062634,0.013668,0.028511
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,4,M,21,0.093012,0.026185,0.005714,0.011919,0.020670,0.011760,0.002566,0.005353,0.119440,0.016925,0.003693,0.007704,0.913935,0.047009,0.010258,0.021398
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,4,N,21,0.157210,0.020295,0.004429,0.009238,0.104299,0.010513,0.002294,0.004786,0.020567,0.005806,0.001267,0.002643,0.629959,0.026471,0.005776,0.012049
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,8,E,21,0.107522,0.004183,0.000913,0.001904,0.052371,0.004523,0.000987,0.002059,0.093745,0.004059,0.000886,0.001848,0.793495,0.017367,0.003790,0.007905
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,8,Full,21,0.055649,0.004380,0.000956,0.001994,0.049485,0.002802,0.000611,0.001275,0.116989,0.006505,0.001419,0.002961,0.777270,0.010116,0.002208,0.004605
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,8,M,21,0.030308,0.005168,0.001128,0.002352,0.070533,0.003952,0.000862,0.001799,0.162387,0.010342,0.002257,0.004708,0.732044,0.013386,0.002921,0.006093
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,8,N,21,0.072433,0.004192,0.000915,0.001908,0.099625,0.002558,0.000558,0.001165,0.105553,0.005000,0.001091,0.002276,0.640931,0.010003,0.002183,0.004553
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,16,E,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000474,0.000168,0.000037,0.000076,1.000000,0.000000,0.000000,0.000000
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,16,Full,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,16,M,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000025,0.000005,0.000011,1.000000,0.000000,0.000000,0.000000
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,16,N,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,32,E,21,0.063197,0.002140,0.000467,0.000974,0.077781,0.002346,0.000512,0.001068,0.068534,0.003232,0.000705,0.001471,0.628692,0.010990,0.002398,0.005003
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,32,Full,21,0.066163,0.003027,0.000660,0.001378,0.076989,0.003604,0.000786,0.001640,0.082125,0.003086,0.000673,0.001405,0.658350,0.011303,0.002466,0.005145
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,32,M,21,0.062658,0.002443,0.000533,0.001112,0.100174,0.002211,0.000483,0.001007,0.088293,0.003492,0.000762,0.001589,0.601093,0.006764,0.001476,0.003079
SE-FC-L1_FaceBased,SE-FC,FaceBased,FC-L1,32,N,21,0.092063,0.002106,0.000460,0.000959,0.086198,0.001325,0.000289,0.000603,0.074199,0.001582,0.000345,0.000720,0.658552,0.005107,0.001114,0.002324
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,2,E,21,0.095211,0.002373,0.000518,0.001080,0.072714,0.002985,0.000651,0.001359,0.060809,0.004516,0.000986,0.002056,0.682027,0.011809,0.002577,0.005376
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,2,Full,21,0.090657,0.004183,0.000913,0.001904,0.083222,0.003331,0.000727,0.001516,0.074502,0.003223,0.000703,0.001467,0.664818,0.013213,0.002883,0.006015
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,2,M,21,0.090390,0.003310,0.000722,0.001506,0.063618,0.004421,0.000965,0.002012,0.098720,0.002604,0.000568,0.001185,0.748438,0.013495,0.002945,0.006143
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,2,N,21,0.066317,0.004442,0.000969,0.002022,0.096887,0.003769,0.000822,0.001716,0.071749,0.004509,0.000984,0.002053,0.587365,0.007792,0.001700,0.003547
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,4,E,21,0.103914,0.008322,0.001816,0.003788,0.078358,0.005403,0.001179,0.002460,0.088884,0.007013,0.001530,0.003192,0.710687,0.022365,0.004880,0.010180
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,4,Full,21,0.127364,0.016196,0.003534,0.007372,0.184735,0.020464,0.004466,0.009315,0.041965,0.013860,0.003025,0.006309,0.478875,0.028439,0.006206,0.012945
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,4,M,21,0.087654,0.010987,0.002398,0.005001,0.089548,0.012318,0.002688,0.005607,0.001097,0.000740,0.000162,0.000337,0.498044,0.047975,0.010469,0.021838
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,4,N,15,0.047708,0.042039,0.009174,0.019136,0.000000,0.000000,0.000000,0.000000,0.000139,0.000406,0.000088,0.000185,1.000000,0.000000,0.000000,0.000000
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,8,E,21,0.066581,0.028140,0.006141,0.012809,0.003395,0.002960,0.000646,0.001347,0.003174,0.003895,0.000850,0.001773,0.961419,0.023201,0.005063,0.010561
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,8,Full,21,0.028118,0.018509,0.004039,0.008425,0.003691,0.006438,0.001405,0.002931,0.018323,0.017941,0.003915,0.008167,0.959558,0.061740,0.013473,0.028104
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,8,M,21,0.012540,0.011989,0.002616,0.005457,0.001425,0.001719,0.000375,0.000782,0.112527,0.017744,0.003872,0.008077,0.989273,0.011039,0.002409,0.005025
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,8,N,4,0.000000,0.000000,0.000000,0.000000,0.002999,0.009316,0.002033,0.004241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,16,E,21,0.095454,0.002863,0.000625,0.001303,0.062430,0.004459,0.000973,0.002030,0.071257,0.004092,0.000893,0.001862,0.727837,0.008843,0.001930,0.004025
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,16,Full,21,0.060235,0.002530,0.000552,0.001152,0.062176,0.003366,0.000735,0.001532,0.097530,0.003051,0.000666,0.001389,0.717410,0.010751,0.002346,0.004894
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,16,M,21,0.062474,0.003457,0.000754,0.001573,0.092374,0.002335,0.000510,0.001063,0.101938,0.003369,0.000735,0.001534,0.640222,0.010126,0.002210,0.004609
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,16,N,21,0.082052,0.001790,0.000391,0.000815,0.091049,0.002151,0.000469,0.000979,0.085143,0.001992,0.000435,0.000907,0.647410,0.007739,0.001689,0.003523
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,32,E,21,0.049951,0.004443,0.000970,0.002022,0.022658,0.005012,0.001094,0.002281,0.108239,0.004602,0.001004,0.002095,0.875470,0.023752,0.005183,0.010812
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,32,Full,21,0.042693,0.008096,0.001767,0.003685,0.048179,0.010126,0.002210,0.004609,0.108123,0.007026,0.001533,0.003198,0.760017,0.032837,0.007166,0.014947
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,32,M,21,0.042004,0.007037,0.001536,0.003203,0.029781,0.006523,0.001423,0.002969,0.136164,0.007475,0.001631,0.003403,0.857300,0.027250,0.005946,0.012404
SE-FC-L1_ObjectBased,SE-FC,ObjectBased,FC-L1,32,N,21,0.033303,0.006525,0.001424,0.002970,0.069724,0.008568,0.001870,0.003900,0.099841,0.005798,0.001265,0.002639,0.657186,0.026578,0.005800,0.012098
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,2,E,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001357,0.002487,0.000543,0.001132,1.000000,0.000000,0.000000,0.000000
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,2,Full,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013748,0.028875,0.006301,0.013144,1.000000,0.000000,0.000000,0.000000
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,2,M,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,2,N,21,0.000000,0.000000,0.000000,0.000000,0.021639,0.026454,0.005773,0.012042,0.003299,0.001823,0.000398,0.000830,0.471885,0.471270,0.102839,0.214519
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,4,E,21,0.056323,0.006573,0.001434,0.002992,0.013299,0.002792,0.000609,0.001271,0.043072,0.009111,0.001988,0.004147,0.882467,0.016297,0.003556,0.007418
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,4,Full,21,0.030004,0.003561,0.000777,0.001621,0.032457,0.003491,0.000762,0.001589,0.067120,0.006858,0.001497,0.003122,0.749743,0.013454,0.002936,0.006124
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,4,M,21,0.035679,0.004376,0.000955,0.001992,0.093067,0.004463,0.000974,0.002032,0.045048,0.010383,0.002266,0.004726,0.462613,0.037896,0.008270,0.017250
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,4,N,21,0.068449,0.017415,0.003800,0.007927,0.053045,0.007949,0.001735,0.003618,0.052492,0.007806,0.001703,0.003553,0.694698,0.025227,0.005505,0.011483
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,8,E,21,0.108476,0.017056,0.003722,0.007764,0.041598,0.016332,0.003564,0.007434,0.052892,0.013645,0.002978,0.006211,0.798520,0.074161,0.016183,0.033758
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,8,Full,21,0.098753,0.011471,0.002503,0.005221,0.099426,0.008833,0.001928,0.004021,0.044977,0.010479,0.002287,0.004770,0.590251,0.021870,0.004772,0.009955
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,8,M,21,0.074193,0.010225,0.002231,0.004654,0.090458,0.012052,0.002630,0.005486,0.019185,0.011490,0.002507,0.005230,0.507054,0.050888,0.011105,0.023164
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,8,N,21,0.093889,0.007304,0.001594,0.003325,0.052524,0.005576,0.001217,0.002538,0.042075,0.009904,0.002161,0.004508,0.720907,0.021147,0.004615,0.009626
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,16,E,21,0.003791,0.005243,0.001144,0.002387,0.000170,0.000780,0.000170,0.000355,0.092663,0.019998,0.004364,0.009103,0.998077,0.008814,0.001923,0.004012
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,16,Full,21,0.005944,0.006148,0.001342,0.002799,0.000379,0.001738,0.000379,0.000791,0.075473,0.019885,0.004339,0.009052,0.996384,0.016571,0.003616,0.007543
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,16,M,21,0.006433,0.005661,0.001235,0.002577,0.000211,0.000623,0.000136,0.000283,0.013183,0.009741,0.002126,0.004434,0.994173,0.015345,0.003349,0.006985
